tas,Year,Month,Country, C, ISO3, ISO2
26.5238,1926,4,CAF,,,
25.8926,1926,5,CAF,,,
24.7054,1926,6,CAF,,,
23.914,1926,7,CAF,,,
24.0113,1926,8,CAF,,,
24.2581,1926,9,CAF,,,
24.4638,1926,10,CAF,,,
24.3003,1926,11,CAF,,,
23.7436,1926,12,CAF,,,
24.2745,1927,1,CAF,,,
26.0188,1927,2,CAF,,,
26.8742,1927,3,CAF,,,
26.4516,1927,4,CAF,,,
25.9965,1927,5,CAF,,,
24.7881,1927,6,CAF,,,
23.8896,1927,7,CAF,,,
23.6927,1927,8,CAF,,,
24.0528,1927,9,CAF,,,
24.5747,1927,10,CAF,,,
24.4381,1927,11,CAF,,,
24.1167,1927,12,CAF,,,
24.6343,1928,1,CAF,,,
25.9723,1928,2,CAF,,,
27.2673,1928,3,CAF,,,
26.7842,1928,4,CAF,,,
25.8018,1928,5,CAF,,,
24.6792,1928,6,CAF,,,
23.8385,1928,7,CAF,,,
23.6025,1928,8,CAF,,,
24.0672,1928,9,CAF,,,
24.3936,1928,10,CAF,,,
24.291,1928,11,CAF,,,
23.6982,1928,12,CAF,,,
24.123,1929,1,CAF,,,
26.2813,1929,2,CAF,,,
26.9445,1929,3,CAF,,,
26.8069,1929,4,CAF,,,
25.8002,1929,5,CAF,,,
24.5577,1929,6,CAF,,,
23.5096,1929,7,CAF,,,
23.5085,1929,8,CAF,,,
23.8266,1929,9,CAF,,,
24.2562,1929,10,CAF,,,
24.3152,1929,11,CAF,,,
23.2054,1929,12,CAF,,,
23.8334,1930,1,CAF,,,
26.1746,1930,2,CAF,,,
26.6993,1930,3,CAF,,,
26.6503,1930,4,CAF,,,
25.851,1930,5,CAF,,,
24.4903,1930,6,CAF,,,
23.7303,1930,7,CAF,,,
23.699,1930,8,CAF,,,
24.0266,1930,9,CAF,,,
24.4064,1930,10,CAF,,,
23.9117,1930,11,CAF,,,
23.8791,1930,12,CAF,,,
24.1418,1931,1,CAF,,,
26.3286,1931,2,CAF,,,
26.9777,1931,3,CAF,,,
26.8402,1931,4,CAF,,,
25.8732,1931,5,CAF,,,
24.7512,1931,6,CAF,,,
23.7908,1931,7,CAF,,,
23.6872,1931,8,CAF,,,
23.8012,1931,9,CAF,,,
24.4638,1931,10,CAF,,,
24.4516,1931,11,CAF,,,
23.853,1931,12,CAF,,,
24.1398,1932,1,CAF,,,
26.1312,1932,2,CAF,,,
27.0445,1932,3,CAF,,,
26.8331,1932,4,CAF,,,
25.788,1932,5,CAF,,,
24.7117,1932,6,CAF,,,
23.7321,1932,7,CAF,,,
23.6715,1932,8,CAF,,,
23.9224,1932,9,CAF,,,
24.4731,1932,10,CAF,,,
24.4424,1932,11,CAF,,,
23.6385,1932,12,CAF,,,
24.5023,1933,1,CAF,,,
26.3472,1933,2,CAF,,,
27.0624,1933,3,CAF,,,
26.7006,1933,4,CAF,,,
25.9107,1933,5,CAF,,,
24.6329,1933,6,CAF,,,
23.8206,1933,7,CAF,,,
23.6581,1933,8,CAF,,,
23.9312,1933,9,CAF,,,
24.4078,1933,10,CAF,,,
24.7487,1933,11,CAF,,,
23.9437,1933,12,CAF,,,
24.252,1934,1,CAF,,,
25.9063,1934,2,CAF,,,
27.087,1934,3,CAF,,,
26.9252,1934,4,CAF,,,
25.8622,1934,5,CAF,,,
24.6477,1934,6,CAF,,,
23.7679,1934,7,CAF,,,
23.7022,1934,8,CAF,,,
24.0232,1934,9,CAF,,,
24.5472,1934,10,CAF,,,
24.5688,1934,11,CAF,,,
23.6107,1934,12,CAF,,,
24.3355,1935,1,CAF,,,
26.0979,1935,2,CAF,,,
27.1193,1935,3,CAF,,,
26.8254,1935,4,CAF,,,
25.9691,1935,5,CAF,,,
24.6697,1935,6,CAF,,,
23.8413,1935,7,CAF,,,
23.6824,1935,8,CAF,,,
23.9104,1935,9,CAF,,,
24.3498,1935,10,CAF,,,
24.3707,1935,11,CAF,,,
23.7522,1935,12,CAF,,,
24.1985,1936,1,CAF,,,
26.1482,1936,2,CAF,,,
27.1225,1936,3,CAF,,,
26.8584,1936,4,CAF,,,
25.957,1936,5,CAF,,,
24.6917,1936,6,CAF,,,
23.7717,1936,7,CAF,,,
23.6294,1936,8,CAF,,,
23.8734,1936,9,CAF,,,
24.3747,1936,10,CAF,,,
24.3986,1936,11,CAF,,,
23.6736,1936,12,CAF,,,
24.1889,1937,1,CAF,,,
26.0665,1937,2,CAF,,,
27.0219,1937,3,CAF,,,
26.8081,1937,4,CAF,,,
25.9125,1937,5,CAF,,,
24.7294,1937,6,CAF,,,
23.8049,1937,7,CAF,,,
23.7094,1937,8,CAF,,,
23.9279,1937,9,CAF,,,
24.4446,1937,10,CAF,,,
24.3578,1937,11,CAF,,,
23.7583,1937,12,CAF,,,
24.2663,1938,1,CAF,,,
26.1082,1938,2,CAF,,,
26.9793,1938,3,CAF,,,
26.9136,1938,4,CAF,,,
26.0104,1938,5,CAF,,,
24.7668,1938,6,CAF,,,
23.8161,1938,7,CAF,,,
23.67,1938,8,CAF,,,
23.8951,1938,9,CAF,,,
24.3884,1938,10,CAF,,,
24.4238,1938,11,CAF,,,
23.8548,1938,12,CAF,,,
24.2938,1939,1,CAF,,,
26.1246,1939,2,CAF,,,
27.0653,1939,3,CAF,,,
26.8184,1939,4,CAF,,,
25.9433,1939,5,CAF,,,
24.708,1939,6,CAF,,,
23.8515,1939,7,CAF,,,
23.7352,1939,8,CAF,,,
23.9084,1939,9,CAF,,,
24.4025,1939,10,CAF,,,
24.3526,1939,11,CAF,,,
23.804,1939,12,CAF,,,
24.235,1940,1,CAF,,,
26.0535,1940,2,CAF,,,
26.9595,1940,3,CAF,,,
26.8316,1940,4,CAF,,,
25.9361,1940,5,CAF,,,
24.7316,1940,6,CAF,,,
23.8209,1940,7,CAF,,,
23.7263,1940,8,CAF,,,
23.9413,1940,9,CAF,,,
24.364,1940,10,CAF,,,
24.3014,1940,11,CAF,,,
23.7119,1940,12,CAF,,,
25.8429,1941,1,CAF,,,
27.3087,1941,2,CAF,,,
28.0078,1941,3,CAF,,,
28.2006,1941,4,CAF,,,
26.3936,1941,5,CAF,,,
25.2665,1941,6,CAF,,,
23.814,1941,7,CAF,,,
